from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years
kara_khanid_khanate,Kara-Khanid Khanate,moghulistan,Moghulistan Khanate,contraction,4,central_asian_steppe,1,0,0,1,1,0,135
mongol_empire,Mongol Empire,golden_horde,Golden Horde,contraction,4,central_asian_steppe,1,1,0,0,0,0,-126
golden_horde,Golden Horde,moghulistan,Moghulistan Khanate,contraction,4,central_asian_steppe,1,1,0,0,0,0,-155
golden_horde,Golden Horde,dzungar_khanate,Dzungar Khanate,contraction,4,central_asian_steppe,1,1,0,0,0,0,132
golden_horde,Golden Horde,khoshut_khanate,Khoshut Khanate,contraction,4,central_asian_steppe,1,1,0,0,0,0,140
abbasid_caliphate,Abbasid Caliphate,tulunid_dynasty,Tulunid Dynasty,contraction,4,egypt|levant,2,0,0,1,0,0,-390
abbasid_caliphate,Abbasid Caliphate,ikhshidid_dynasty,Ikhshidid Dynasty,contraction,4,egypt|levant,2,0,0,1,0,0,-323
fatimid_caliphate,Fatimid Caliphate,ikhshidid_dynasty,Ikhshidid Dynasty,contraction,4,egypt|levant,2,0,0,1,0,0,-236
fatimid_caliphate,Fatimid Caliphate,mamluk_sultanate,Mamluk Sultanate,contraction,4,egypt|levant,2,0,0,1,0,0,79
pratihara_dynasty,Pratihara Dynasty,pala_empire,Pala Empire,contraction,4,ganges_plain,1,1,0,0,0,0,-286
